Host Order,Item,Pack,Size,Brand,Description,N/S,Reason,Cutoff,Qty Ship,Price,Portion Cost,Ext Price
7230296,7477367,6,2.84LT,HEINZ,KETCHUP STD PLS BIG RED, ,   ,&nbsp;,2,71.01,,142.02
7230296,9204686,4,2.84LT,HEINZ,MUSTARD PREPARED BIG YEL, ,   ,&nbsp;,1,38.35,,38.35
7230296,9997701,1,15 DZ,WHLFARM,EGG SHELL LG WHT CANADA GR A, ,   ,&nbsp;,1,65.75,,65.75
7230296,1983769,2,1 GAL,KEYSTON,DETERGENT POT/PAN LIQ LEM RTU, ,   ,&nbsp;,1,44.45,,44.45
7230296,1981673,2,3.78 L,KEYSTON,SANITIZER LIQ MULTI-QUAT CDN, ,   ,&nbsp;,1,58.64,,58.64
7230296,2572352,6,5 LB,MCCAIN,POTATO DICED SAVRY, ,   ,&nbsp;,2,66.02,,132.04
7230296,2198416,6,4.5 LB,CAVNDSH,POTATO FRY 3/8" SKN ON THN COA, ,   ,&nbsp;,15,40.52,,607.80
7230296,0792580,3,750 GR,MAT&STV,SEASONING BLEND CAESAR RIMMER, ,   ,&nbsp;,3,40.42,,121.26
7230296,2394161,8,1.89LT,CLAMATO,JUICE CLAMATO ORG, ,   ,&nbsp;,10,35.57,,355.70
7230296,2821106,8,1.77LT,OCNSPRY,JUICE CRANBERRY CKTL, ,   ,&nbsp;,5,33.32,,166.60
